"","Z","Y","C"
"1",74,69,0
"2",74,69,0
"3",74,68,0
"4",74,68,0
"5",74,68,0
"6",74,68,0
"7",74,68,0
"8",74,68,0
"9",74,68,0
"10",74,68,0
"11",74,68,0
"12",74,68,0
"13",74,68,0
"14",74,67,0
"15",74,67,0
"16",74,67,0
"17",74,67,0
"18",74,67,0
"19",74,67,0
"20",74,67,0
"21",74,67,0
"22",73,67,0
"23",74,67,0
"24",72,67,0
"25",74,67,0
"26",74,67,0
"27",74,67,0
"28",74,66,0
"29",74,66,0
"30",74,66,0
"31",74,66,0
"32",74,66,0
"33",74,66,0
"34",70,66,0
"35",74,66,0
"36",74,66,0
"37",74,67,0
"38",72,67,0
"39",74,67,0
"40",74,67,0
"41",74,67,0
"42",74,67,0
"43",74,67,0
"44",74,67,0
"45",74,68,0
"46",69,67,0
"47",74,67,0
"48",74,67,0
"49",68,67,0
"50",74,67,0
"51",74,67,0
"52",74,67,0
"53",74,67,0
"54",74,67,0
"55",74,67,0
"56",71,67,0
"57",74,67,0
"58",74,67,0
"59",74,66,0
"60",74,67,0
"61",73,66,0
"62",74,70,0
"63",74,69,0
"64",74,69,0
"65",74,69,0
"66",74,68,0
"67",70,68,0
"68",74,68,0
"69",69,68,0
"70",74,68,0
"71",69,68,0
"72",74,68,0
"73",74,68,0
"74",73,68,0
"75",72,68,0
"76",74,68,0
"77",74,68,0
"78",72,67,0
"79",74,67,0
"80",74,67,0
"81",74,67,0
"82",70,67,0
"83",74,67,0
"84",71,67,0
"85",74,67,0
"86",73,67,0
"87",74,64,0
"88",74,64,0
"89",74,64,0
"90",68,64,0
"91",74,64,0
"92",74,64,0
"93",74,64,0
"94",70,63,0
"95",70,63,0
"96",73,63,0
"97",67,63,0
"98",74,63,0
"99",74,63,0
"100",74,63,0
"101",74,63,0
"102",74,67,0
"103",74,66,0
"104",70,66,0
"105",74,66,0
"106",74,67,0
"107",69,66,0
"108",74,66,0
"109",74,66,0
"110",74,66,0
"111",74,66,0
"112",66,65,0
"113",74,65,0
"114",66,65,0
"115",74,65,0
"116",74,63,0
"117",74,63,0
"118",70,63,0
"119",74,64,0
"120",74,63,0
"121",73,63,0
"122",68,63,0
"123",69,63,0
"124",74,63,0
"125",73,63,0
"126",74,63,0
"127",74,63,0
"128",74,62,0
"129",74,63,0
"130",74,62,0
"131",72,62,0
"132",74,62,0
"133",68,62,0
"134",74,62,0
"135",74,62,0
"136",74,62,0
"137",70,62,0
"138",74,62,0
"139",66,61,0
"140",74,62,0
"141",68,61,0
"142",66,63,0
"143",74,63,0
"144",71,63,0
"145",74,56,0
"146",74,56,0
"147",59,56,0
"148",71,55,0
"149",69,56,0
"150",74,55,0
"151",74,55,0
"152",74,55,0
"153",64,55,0
"154",74,55,0
"155",63,55,0
"156",74,55,0
"157",74,55,0
"158",59,55,0
"159",74,55,0
"160",70,55,0
"161",74,55,0
"162",74,55,0
"163",74,54,0
"164",74,54,0
"165",72,52,0
"166",68,52,0
"167",74,52,0
"168",74,49,0
"169",74,50,0
"170",57,49,0
"171",74,49,0
"172",72,49,0
"173",74,49,0
"174",74,49,0
"175",74,49,0
"176",74,49,0
"177",51,49,0
"178",70,49,0
"179",50,49,0
"180",68,49,0
"181",52,49,0
"182",72,49,0
"183",54,49,0
"184",74,49,0
"185",52,49,0
"186",67,49,0
"187",74,49,0
"188",58,49,0
"189",71,49,0
"190",65,49,0
"191",74,49,0
"192",71,47,0
"193",73,47,0
"194",74,47,0
"195",51,47,0
"196",56,47,0
"197",57,47,0
"198",74,63,0
"199",74,63,0
"200",74,63,0
"201",69,63,0
"202",74,63,0
"203",73,63,0
"204",74,63,0
"205",64,63,0
"206",74,63,0
"207",74,63,0
"208",70,63,0
"209",71,63,0
"210",70,63,0
"211",74,63,0
"212",74,63,0
"213",69,63,0
"214",74,63,0
