"","Zi","Yi","Ci","Di"
"1",78,70,0,1
"2",77,70,0,1
"3",78,69,0,1
"4",78,68,0,1
"5",78,68,0,1
"6",78,68,0,1
"7",78,67,0,1
"8",78,67,0,1
"9",78,67,0,1
"10",76,72,0,1
"11",78,72,0,1
"12",78,71,0,1
"13",78,71,0,1
"14",78,71,0,1
"15",78,70,0,1
"16",73,69,0,1
"17",78,69,0,1
"18",78,69,0,1
"19",78,68,0,1
"20",78,68,0,1
"21",71,68,0,1
"22",70,68,0,1
"23",78,68,0,1
"24",78,65,0,1
"25",78,64,0,1
"26",72,64,0,1
"27",78,63,0,1
"28",77,67,0,1
"29",73,67,0,1
"30",78,66,0,1
"31",78,66,0,1
"32",78,66,0,1
"33",73,66,0,1
"34",78,63,0,1
"35",71,63,0,1
"36",78,63,0,1
"37",76,62,0,1
"38",72,62,0,1
"39",65,62,0,1
"40",76,62,0,1
"41",76,63,0,1
"42",78,63,0,1
"43",66,56,0,1
"44",78,56,0,1
"45",69,56,0,1
"46",63,56,0,1
"47",77,55,0,1
"48",75,54,0,1
"49",78,54,0,1
"50",78,52,0,1
"51",69,52,0,1
"52",69,52,0,1
"53",78,52,0,1
"54",65,52,0,1
"55",63,52,0,1
"56",78,52,0,1
"57",56,52,0,1
"58",66,52,0,1
"59",78,52,0,1
"60",78,52,0,1
"61",61,52,0,1
"62",72,52,0,1
"63",65,52,0,1
"64",57,50,0,1
"65",72,50,0,1
"66",78,47,0,1
"67",78,47,0,1
"68",78,47,0,1
"69",78,47,0,1
"70",66,47,0,1
"71",78,47,0,1
"72",62,47,0,1
"73",75,47,0,1
"74",52,47,0,1
"75",78,47,0,1
"76",78,47,0,1
"77",78,47,0,1
"78",78,47,0,1
"79",73,47,0,1
"80",78,47,0,1
"81",54,47,0,1
"82",67,63,0,1
"83",76,63,0,1
"84",70,63,0,1
"85",67,63,0,1
"86",78,63,0,1
"87",78,62,0,1
"88",72,62,0,1
"89",74,62,0,1
"90",72,62,0,1
"91",78,62,0,1
"92",67,64,0,1
"93",78,64,0,1
"94",69,63,0,1
"95",78,63,0,1
"96",68,63,0,1
"97",78,63,0,1
"98",65,57,0,1
"99",78,57,0,1
"100",78,57,0,1
"101",78,57,0,1
"102",78,63,0,1
"103",78,62,0,1
"104",78,62,0,1
"105",70,61,0,1
"106",76,61,0,1
"107",72,61,0,1
"108",64,60,0,1
"109",78,66,0,1
"110",78,55,0,1
"111",78,54,0,1
"112",54,53,0,1
"113",69,53,0,1
"114",64,53,0,1
"115",72,52,0,1
"116",60,52,0,1
"117",78,52,0,1
"118",77,52,0,1
"119",72,52,0,1
"120",78,52,0,1
"121",78,52,0,1
"122",68,52,0,1
"123",51,49,0,1
"124",78,49,0,1
"125",64,49,0,1
"126",67,49,0,1
"127",56,49,0,1
"128",78,49,0,1
"129",78,49,0,1
"130",78,49,0,1
"131",78,49,0,1
"132",64,49,0,1
"133",61,49,0,1
"134",78,47,0,1
"135",67,47,0,1
"136",50,47,0,1
"137",78,47,0,1
"138",66,47,0,1
"139",64,47,0,1
"140",77,47,0,1
"141",78,47,0,1
"142",56,47,0,1
"143",78,61,0,1
"144",78,61,0,1
"145",64,61,0,1
"146",78,61,0,1
"147",77,61,0,1
"148",69,61,0,1
"149",72,61,0,1
"150",71,60,0,1
"151",76,60,0,1
"152",72,62,0,1
"153",78,62,0,1
"154",78,62,0,1
"155",78,62,0,1
"156",78,62,0,1
"157",72,62,0,1
"158",78,62,0,1
"159",73,62,0,1
"160",67,61,0,1
"161",62,61,0,1
"162",78,61,0,1
"163",78,61,0,1
"164",78,61,0,1
"165",78,55,0,1
"166",78,56,0,1
"167",78,56,0,1
"168",78,56,0,1
"169",76,55,0,1
"170",75,55,0,1
"171",78,55,0,1
"172",78,54,0,1
"173",58,54,0,1
"174",59,44,0,1
"175",78,44,0,1
"176",60,41,0,1
"177",78,41,0,1
"178",69,41,0,1
"179",71,41,0,1
"180",77,41,0,1
"181",65,41,0,1
"182",74,41,0,1
"183",73,41,0,1
"184",42,41,0,1
"185",47,40,0,1
"186",67,33,0,1
"187",76,33,1,0
"188",76,33,1,0
"189",48,33,0,1
"190",43,32,0,1
"191",75,32,0,1
"192",75,32,1,0
"193",74,32,0,1
"194",51,31,0,1
"195",53,32,0,1
"196",69,30,0,1
"197",33,31,0,1
"198",48,37,0,1
"199",42,37,0,1
"200",73,37,0,1
"201",77,53,0,1
"202",58,53,0,1
"203",55,54,0,1
"204",78,53,0,1
"205",78,53,0,1
"206",78,53,0,1
"207",62,53,0,1
"208",78,58,0,1
"209",78,58,0,1
"210",78,58,0,1
"211",67,58,0,1
"212",63,58,0,1
"213",63,43,0,1
"214",78,43,0,1
"215",61,43,0,1
"216",67,43,0,1
"217",78,43,0,1
"218",78,41,0,1
"219",58,41,0,1
"220",67,41,0,1
"221",59,41,0,1
"222",44,41,0,1
"223",52,41,0,1
"224",71,41,0,1
"225",78,41,0,1
"226",46,39,0,1
"227",45,39,0,1
"228",75,39,0,1
"229",54,39,0,1
"230",69,33,0,1
"231",42,33,0,1
"232",76,33,1,0
"233",43,33,0,1
"234",67,33,0,1
"235",74,33,0,1
"236",76,33,1,0
"237",69,33,0,1
"238",76,33,1,0
"239",76,33,0,1
"240",53,33,0,1
"241",55,33,0,1
"242",39,30,0,1
"243",54,30,0,1
"244",71,30,0,1
"245",52,37,0,1
"246",72,37,0,1
"247",64,37,0,1
"248",55,37,0,1
"249",78,37,0,1
"250",50,37,0,1
"251",48,37,0,1
"252",42,37,0,1
"253",78,37,1,1
"254",78,37,0,1
"255",39,37,0,1
"256",78,37,0,1
"257",57,37,0,1
"258",55,36,0,1
"259",47,36,0,1
"260",37,36,0,1
"261",71,36,0,1
"262",72,36,0,1
"263",78,36,1,1
"264",45,36,0,1
"265",41,36,0,1
"266",78,36,0,1
"267",59,36,0,1
"268",78,36,1,1
"269",78,35,0,1
"270",61,35,0,1
"271",78,35,1,1
"272",65,35,0,1
"273",29,25,0,1
"274",54,25,0,1
"275",27,25,0,1
"276",26,25,0,1
"277",31,25,0,1
"278",28,25,0,1
"279",67,24,1,0
"280",58,24,0,1
"281",67,24,1,0
"282",67,24,1,0
"283",44,24,0,1
"284",50,24,0,1
"285",37,24,0,1
"286",57,29,0,1
"287",72,29,1,0
"288",32,29,0,1
"289",72,29,1,0
"290",71,29,0,1
"291",63,29,0,1
"292",44,29,0,1
"293",72,29,0,1
"294",72,29,1,0
"295",71,28,1,0
"296",37,28,0,1
"297",33,28,0,1
"298",63,28,0,1
"299",54,28,0,1
"300",39,28,0,1
"301",36,28,0,1
"302",33,28,0,1
"303",71,28,0,1
"304",70,27,0,1
"305",67,24,1,0
"306",74,37,0,1
"307",78,37,0,1
"308",78,37,0,1
"309",68,37,0,1
"310",78,37,0,1
"311",78,36,0,1
"312",66,36,0,1
"313",67,36,0,1
"314",72,36,0,1
"315",37,36,0,1
"316",78,36,1,1
"317",66,36,0,1
"318",69,35,0,1
"319",52,35,0,1
"320",34,25,0,1
"321",56,25,0,1
"322",26,25,0,1
"323",48,25,0,1
"324",68,25,1,0
"325",61,25,0,1
"326",68,25,0,1
"327",67,24,1,0
"328",67,24,1,0
"329",61,24,0,1
"330",65,29,0,1
"331",53,29,0,1
"332",70,28,0,1
"333",49,28,0,1
"334",71,28,1,0
"335",71,28,1,0
"336",71,28,0,1
"337",42,28,0,1
"338",29,28,0,1
"339",71,28,1,0
"340",51,28,0,1
"341",66,23,1,0
"342",66,23,1,0
"343",37,23,0,1
"344",61,22,0,1
"345",52,22,0,1
"346",65,22,1,0
"347",60,24,0,1
"348",58,22,0,1
"349",65,22,1,0
"350",37,26,0,1
"351",58,26,0,1
"352",63,27,0,1
"353",19,18,0,1
"354",54,18,0,1
"355",32,18,0,1
"356",34,18,0,1
"357",50,17,0,1
"358",60,17,1,0
"359",20,17,0,1
"360",60,17,1,0
"361",59,17,0,1
"362",60,17,1,0
"363",56,17,0,1
"364",55,17,0,1
"365",47,17,0,1
"366",66,23,1,0
"367",62,24,0,1
"368",24,22,0,1
"369",29,22,0,1
"370",41,22,0,1
"371",65,22,1,0
"372",57,22,0,1
"373",30,26,0,1
"374",31,26,0,1
"375",69,26,1,0
"376",43,18,0,1
"377",61,18,1,0
"378",53,18,0,1
"379",40,18,0,1
"380",29,18,0,1
"381",54,18,0,1
"382",61,18,1,0
"383",59,18,0,1
"384",49,18,0,1
"385",39,17,0,1
"386",60,17,1,0
"387",21,17,0,1
"388",60,17,1,0
"389",60,17,1,0
"390",53,17,0,1
"391",60,17,1,0
"392",27,17,0,1
"393",60,17,1,0
"394",47,17,0,1
"395",60,17,1,0
"396",49,17,0,1
"397",56,21,0,1
"398",64,21,1,0
"399",53,21,0,1
"400",64,21,1,0
"401",24,21,0,1
"402",62,21,0,1
"403",52,14,0,1
"404",56,13,1,0
"405",23,13,0,1
"406",22,13,0,1
"407",56,13,1,0
"408",56,13,1,0
"409",56,13,1,0
"410",27,20,0,1
"411",63,20,0,1
"412",26,20,0,1
"413",62,20,0,1
"414",51,20,0,1
"415",63,20,1,0
"416",62,19,1,0
"417",46,19,0,1
"418",57,19,0,1
"419",62,19,1,0
"420",58,19,0,1
"421",62,19,1,0
"422",20,19,0,1
"423",49,6,1,0
"424",46,6,0,1
"425",14,6,0,1
"426",64,21,1,0
"427",64,21,1,0
"428",46,21,0,1
"429",64,21,1,0
"430",44,21,0,1
"431",54,21,0,1
"432",48,21,0,1
"433",64,21,1,0
"434",35,21,0,1
"435",53,21,0,1
"436",64,21,1,0
"437",40,21,0,1
"438",57,21,0,1
"439",64,21,0,1
"440",56,13,1,0
"441",56,13,1,0
"442",56,13,1,0
"443",52,13,0,1
"444",21,13,0,1
"445",14,13,0,1
"446",56,13,1,0
"447",32,13,0,1
"448",19,13,0,1
"449",15,13,0,1
"450",38,13,0,1
"451",56,13,1,0
"452",38,13,0,1
"453",15,12,0,1
"454",47,20,0,1
"455",32,20,0,1
"456",63,20,1,0
"457",28,20,0,1
"458",45,20,0,1
"459",63,20,1,0
"460",54,19,0,1
"461",62,19,1,0
"462",62,19,1,0
"463",29,19,0,1
"464",55,19,0,1
"465",62,19,1,0
"466",38,19,0,1
"467",46,6,0,1
"468",41,6,0,1
"469",39,6,0,1
"470",50,7,1,0
"471",50,7,1,0
"472",22,7,0,1
"473",31,7,0,1
"474",18,7,0,1
"475",49,7,0,1
"476",42,7,0,1
"477",16,7,0,1
"478",50,7,1,0
"479",50,7,1,0
"480",50,7,1,0
"481",47,7,0,1
"482",47,8,0,1
"483",52,19,0,1
"484",29,19,0,1
"485",51,19,0,1
"486",46,19,0,1
"487",62,19,1,0
"488",32,19,0,1
"489",8,6,0,1
"490",49,6,1,0
"491",49,6,1,0
"492",8,6,0,1
"493",18,6,0,1
"494",32,7,0,1
"495",31,7,0,1
"496",19,7,0,1
"497",32,7,0,1
"498",50,7,1,0
"499",11,7,0,1
"500",31,7,0,1
"501",50,7,1,0
"502",47,7,0,1
"503",34,7,0,1
"504",51,8,0,1
"505",50,7,0,1
"506",50,7,1,0
"507",17,7,0,1
"508",53,19,0,1
"509",32,19,0,1
"510",59,19,0,1
"511",62,19,1,0
"512",30,19,0,1
"513",62,19,0,1
"514",61,18,1,0
"515",27,18,0,1
"516",61,18,1,0
"517",61,18,1,0
"518",59,18,0,1
"519",45,18,0,1
"520",42,18,0,1
"521",23,17,0,1
"522",52,16,0,1
"523",24,16,0,1
"524",52,16,0,1
"525",22,16,0,1
"526",39,16,0,1
"527",58,15,1,0
"528",22,15,0,1
"529",43,15,0,1
"530",46,15,0,1
"531",58,15,1,0
"532",43,15,0,1
"533",29,15,0,1
"534",18,15,0,1
"535",52,15,0,1
"536",43,15,0,1
"537",41,15,0,1
"538",35,14,0,1
"539",50,14,0,1
"540",52,14,0,1
"541",35,18,0,1
"542",61,18,1,0
"543",61,18,1,0
"544",58,18,0,1
"545",52,18,0,1
"546",60,17,1,0
"547",27,17,0,1
"548",53,17,0,1
"549",52,16,0,1
"550",41,16,0,1
"551",59,16,1,0
"552",26,16,0,1
"553",59,16,1,0
"554",51,16,0,1
"555",59,16,1,0
"556",23,16,0,1
"557",52,16,0,1
"558",23,16,0,1
"559",23,15,0,1
"560",23,15,0,1
"561",40,15,0,1
"562",18,15,0,1
"563",37,15,0,1
"564",24,15,0,1
"565",27,15,0,1
"566",58,15,1,0
"567",37,15,0,1
"568",31,15,0,1
"569",58,15,1,0
"570",23,14,0,1
"571",57,14,0,1
"572",42,14,0,1
"573",57,14,1,0
"574",47,14,0,1
"575",44,14,0,1
"576",55,14,0,1
"577",22,14,0,1
"578",57,14,0,1
"579",57,14,1,0
"580",15,14,0,1
"581",45,14,0,1
"582",15,14,0,1
"583",50,13,0,1
"584",56,13,1,0
"585",43,13,0,1
"586",19,13,0,1
"587",48,12,0,1
"588",55,12,1,0
"589",55,12,1,0
"590",55,12,1,0
"591",55,12,1,0
"592",14,12,0,1
"593",28,12,0,1
"594",32,12,0,1
"595",28,12,0,1
"596",30,12,0,1
"597",23,12,0,1
"598",54,11,1,0
"599",39,11,0,1
"600",41,11,0,1
"601",12,11,0,1
"602",40,11,0,1
"603",23,11,0,1
"604",54,11,1,0
"605",54,11,1,0
"606",32,11,0,1
"607",54,11,1,0
"608",37,11,0,1
"609",57,14,1,0
"610",57,14,1,0
"611",52,14,0,1
"612",30,14,0,1
"613",57,14,1,0
"614",55,14,0,1
"615",57,14,1,0
"616",27,14,0,1
"617",51,14,0,1
"618",56,13,1,0
"619",50,13,0,1
"620",56,13,1,0
"621",54,13,0,1
"622",17,12,0,1
"623",27,12,0,1
"624",47,12,0,1
"625",13,12,0,1
"626",55,12,1,0
"627",55,12,1,0
"628",37,12,0,1
"629",42,12,0,1
"630",12,11,0,1
"631",27,11,0,1
"632",17,11,0,1
"633",13,11,0,1
"634",54,11,1,0
"635",54,11,1,0
"636",39,11,0,1
"637",46,11,0,1
"638",54,11,1,0
"639",29,10,0,1
"640",53,10,1,0
"641",53,10,1,0
"642",53,10,1,0
"643",17,10,0,1
"644",31,9,0,1
"645",12,9,0,1
"646",26,9,0,1
"647",21,9,0,1
"648",49,9,0,1
"649",10,9,0,1
"650",52,9,1,0
"651",52,9,1,0
"652",33,9,0,1
"653",19,9,0,1
"654",43,9,0,1
"655",44,9,0,1
"656",34,8,0,1
"657",26,8,0,1
"658",43,11,0,1
"659",46,11,0,1
"660",17,10,0,1
"661",53,10,1,0
"662",37,10,0,1
"663",46,10,0,1
"664",53,10,1,0
"665",53,10,1,0
"666",45,10,0,1
"667",53,10,1,0
"668",53,10,1,0
"669",26,10,0,1
"670",27,10,0,1
"671",52,9,1,0
"672",38,10,0,1
"673",52,9,1,0
"674",52,9,1,0
"675",33,9,0,1
"676",52,9,1,0
"677",52,9,1,0
"678",45,9,0,1
"679",29,9,0,1
"680",26,9,0,1
"681",15,9,0,1
"682",43,8,0,1
"683",51,8,1,0
"684",45,8,0,1
"685",30,8,0,1
"686",51,8,1,0
"687",51,8,1,0
"688",44,8,0,1
"689",16,8,0,1
"690",49,6,1,0
"691",27,6,0,1
"692",41,6,0,1
"693",33,6,0,1
"694",47,5,0,1
"695",11,5,0,1
"696",13,5,0,1
"697",48,5,1,0
"698",51,8,1,0
"699",25,8,0,1
"700",35,8,0,1
"701",35,8,0,1
"702",51,8,1,0
"703",26,8,0,1
"704",51,8,1,0
"705",18,8,0,1
"706",24,6,0,1
"707",49,6,1,0
"708",26,6,0,1
"709",12,6,0,1
"710",48,5,1,0
"711",77,54,0,1
"712",78,54,0,1
"713",62,54,0,1
"714",78,72,0,1
"715",78,72,0,1
"716",78,71,0,1
"717",78,69,0,1
"718",78,69,0,1
"719",78,68,0,1
"720",77,68,0,1
"721",78,67,0,1
"722",78,67,0,1
"723",78,66,0,1
"724",78,73,0,1
"725",78,73,0,1
"726",78,72,0,1
"727",77,71,0,1
"728",75,71,0,1
"729",76,72,0,1
"730",76,70,0,1
"731",78,70,0,1
"732",74,70,0,1
"733",68,67,0,1
"734",69,67,0,1
"735",76,53,0,1
"736",78,77,0,1
"737",78,75,0,1
"738",78,75,0,1
"739",78,76,0,1
"740",78,75,0,1
"741",78,74,0,1
"742",77,76,0,1
"743",78,73,0,1
"744",75,72,0,1
"745",78,72,0,1
"746",78,70,0,1
"747",71,69,0,1
"748",73,69,0,1
"749",71,69,0,1
"750",70,69,0,1
"751",78,68,0,1
"752",78,67,0,1
"753",78,72,0,1
"754",78,72,0,1
"755",78,72,0,1
"756",78,72,0,1
"757",78,71,0,1
"758",76,71,0,1
"759",78,71,0,1
"760",72,71,0,1
"761",78,71,0,1
"762",78,70,0,1
"763",78,67,0,1
"764",78,67,0,1
"765",78,67,0,1
"766",77,66,0,1
"767",76,66,0,1
"768",78,66,0,1
"769",78,65,0,1
"770",78,65,0,1
"771",78,65,0,1
"772",78,63,0,1
"773",78,63,0,1
"774",78,62,0,1
"775",78,62,0,1
"776",78,62,0,1
"777",78,61,0,1
"778",75,61,0,1
"779",78,60,0,1
"780",66,60,0,1
"781",78,60,0,1
"782",62,59,0,1
"783",77,58,0,1
"784",62,58,0,1
"785",78,58,0,1
"786",78,57,0,1
"787",78,56,0,1
"788",78,56,0,1
"789",78,55,0,1
"790",71,55,0,1
"791",78,54,0,1
"792",78,54,0,1
"793",78,54,0,1
"794",76,73,0,1
"795",76,72,0,1
"796",75,72,0,1
"797",78,72,0,1
"798",78,70,0,1
"799",73,70,0,1
"800",78,70,0,1
"801",74,70,0,1
"802",76,69,0,1
"803",74,68,0,1
"804",78,68,0,1
"805",78,68,0,1
"806",78,67,0,1
"807",78,67,0,1
