"","e","n","p0","emp_mean","emp_sd","thm_sd","cov_prob"
"",NA,NA,NA,NA,NA,NA,NA
"mat_row",25,50,0.05,0.050216323793544,0.0151789172131363,0.0144922421293833,0.935
"mat_row",25,100,0.05,0.0506210975400735,0.0102803555994935,0.0102475626842843,0.95
"mat_row",25,250,0.05,0.0503246481754398,0.00647029694245076,0.00648112770953749,0.95
"mat_row",25,500,0.05,0.0499245474586125,0.00455165295950059,0.00458284935315,0.949
"mat_row",30,50,0.05,0.0511262307814976,0.0151673781348842,0.0144922421293833,0.933
"mat_row",30,100,0.05,0.0500269877501199,0.00989296778874921,0.0102475626842843,0.959
"mat_row",30,250,0.05,0.0500798610379694,0.00628568958621439,0.00648112770953749,0.955
"mat_row",30,500,0.05,0.0503303277191607,0.00486048605208936,0.00458284935315,0.945
"mat_row",35,50,0.05,0.0506035584065945,0.01490835019992,0.0144922421293833,0.947
"mat_row",35,100,0.05,0.0502536820159509,0.0107407345436807,0.0102475626842843,0.927
"mat_row",35,250,0.05,0.0498884409113758,0.00660813799564162,0.00648112770953749,0.936
"mat_row",35,500,0.05,0.0499777635636455,0.00461613606574884,0.00458284935315,0.952
